volume,pct_change,target,date
3138850000,0.0031259043893263616,1,2018-06-08
3262130000,0.001068707668436586,1,2018-06-11
3435700000,0.0017433852107295866,0,2018-06-12
3820770000,-0.004026127868587581,1,2018-06-13
3540930000,0.002471549778432225,0,2018-06-14
5451990000,-0.001017102715529128,0,2018-06-15
3316120000,-0.0021261277624751163,0,2018-06-18
3671160000,-0.004023402292699374,1,2018-06-19
3332140000,0.0017121542893689945,0,2018-06-20
3336580000,-0.006345510515579966,1,2018-06-21
5468110000,0.0018619345065358228,0,2018-06-22
3663280000,-0.013724668973416176,1,2018-06-25
3568900000,0.0022045770199778936,0,2018-06-26
3803990000,-0.008604355128821406,1,2018-06-27
3461100000,0.00617868985946779,1,2018-06-28
3586800000,0.0007584033300001014,1,2018-06-29
3095040000,0.003067957412152822,0,2018-07-02
1911460000,-0.00494735062681062,1,2018-07-03
2980160000,0.008620803683929923,1,2018-07-05
2590250000,0.008481281595267509,1,2018-07-06
3070060000,0.008822985887663393,1,2018-07-09
3080140000,0.003473267180873929,0,2018-07-10
2986180000,-0.007094202866256172,1,2018-07-11
2834230000,0.008749042674663476,1,2018-07-12
2619790000,0.0010792374947172778,0,2018-07-13
2819860000,-0.001028135726814483,1,2018-07-16
3064920000,0.00397369863071062,1,2018-07-17
3111560000,0.0021605126279586884,0,2018-07-18
3278360000,-0.003952993120479142,0,2018-07-19
3243250000,-0.0009484477101494582,1,2018-07-20
2928490000,0.0018380494891383492,1,2018-07-23
3430410000,0.004780911145920941,1,2018-07-24
3584400000,0.009101605057599604,0,2018-07-25
3667290000,-0.0030322960242857855,0,2018-07-26
3434370000,-0.00656220869212365,0,2018-07-27
3261190000,-0.005754170294581917,1,2018-07-30
3906890000,0.004884728797982518,0,2018-07-31
3501350000,-0.0010403515262938923,1,2018-08-01
3501380000,0.004926444803381669,1,2018-08-02
3043690000,0.004644183009877123,1,2018-08-03
2879020000,0.003538227451535869,1,2018-08-06
3185440000,0.0028241822564987196,0,2018-08-07
2978070000,-0.0002623799656497061,0,2018-08-08
3066180000,-0.0014416744645237012,0,2018-08-09
3265590000,-0.007113887913551609,0,2018-08-10
3173630000,-0.004005992185342366,1,2018-08-13
2986500000,0.006389254777276809,0,2018-08-14
3656680000,-0.007602164835758152,1,2018-08-15
3232000000,0.007919408484583057,1,2018-08-16
3037640000,0.0033231157222237684,1,2018-08-17
2757150000,0.0024280177746833775,1,2018-08-20
3174010000,0.0020685364303643095,0,2018-08-21
2701250000,-0.0003981517707819515,0,2018-08-22
2724450000,-0.0016912621251551352,1,2018-08-23
2603010000,0.006198839704363079,1,2018-08-24
2865070000,0.007670409427647185,1,2018-08-27
2687770000,0.00026927832649970007,1,2018-08-28
2805520000,0.005701434129840033,0,2018-08-29
2810450000,-0.004430329054144866,1,2018-08-30
2887220000,0.00013447750859452157,0,2018-08-31
3087420000,-0.0016543221469484948,0,2018-09-04
3248780000,-0.002803126684318036,0,2018-09-05
3144240000,-0.0036523050860121087,0,2018-09-06
2976580000,-0.002213344827027508,1,2018-09-07
2751100000,0.0018978268127400888,1,2018-09-10
2904500000,0.003739841510076891,1,2018-09-11
3341280000,0.00035667194221011833,1,2018-09-12
3274090000,0.005282254329749936,1,2018-09-13
3179410000,0.00027548183892078804,0,2018-09-14
2967980000,-0.005569722252617426,1,2018-09-17
3091190000,0.005369014643958003,1,2018-09-18
3302460000,0.0012532727238796504,1,2018-09-19
3406520000,0.007840591898404803,0,2018-09-20
5652470000,-0.00036853301202766087,0,2018-09-21
3392030000,-0.0035156877607932513,0,2018-09-24
3330880000,-0.0013050961134796202,0,2018-09-25
3417540000,-0.003289278113945082,1,2018-09-26
3101360000,0.0027632870875580196,0,2018-09-27
3461680000,-6.870120538793323e-06,1,2018-09-28
3375890000,0.003641105118425747,0,2018-10-01
3432620000,-0.0003966902079042267,1,2018-10-02
3625510000,0.0007115197468861023,0,2018-10-03
3510370000,-0.008169482334351885,0,2018-10-04
3340820000,-0.005527978766503461,0,2018-10-05
3381820000,-0.00039511662920677093,0,2018-10-08
3531690000,-0.0014179036575431292,0,2018-10-09
4554260000,-0.0328642290012785,0,2018-10-10
4914090000,-0.02057300761734404,1,2018-10-11
4024010000,0.014206197825152422,0,2018-10-12
3327160000,-0.005904978964482943,1,2018-10-15
3460260000,0.02149560016316343,0,2018-10-16
3347090000,-0.00025266233815879335,0,2018-10-17
3639300000,-0.014391922356395415,0,2018-10-18
3593940000,-0.00036116989772350117,0,2018-10-19
3331270000,-0.004299527548581317,0,2018-10-22
4373710000,-0.005511829997012829,0,2018-10-23
4738670000,-0.030864433977743855,1,2018-10-24
4663930000,0.018625040052811848,0,2018-10-25
4804330000,-0.017327264039978307,0,2018-10-26
4701260000,-0.0065595995737004476,1,2018-10-29
5125600000,0.015666780052058682,1,2018-10-30
5133380000,0.010851331974038647,1,2018-10-31
4730250000,0.010557843693063784,0,2018-11-01
4261230000,-0.0063166863793988615,1,2018-11-02
3650910000,0.005600317169601965,1,2018-11-05
3543800000,0.006259295774170726,1,2018-11-06
3929080000,0.021208856064105275,0,2018-11-07
3673550000,-0.0025089163835961825,0,2018-11-08
4029030000,-0.00919901370610332,0,2018-11-09
3701570000,-0.01970148934024063,0,2018-11-12
4112820000,-0.0014819196931705747,0,2018-11-13
4449060000,-0.007567410690302756,1,2018-11-14
4204960000,0.010593753366266334,1,2018-11-15
3996970000,0.0022233054237545957,0,2018-11-16
3806940000,-0.01664310858849427,0,2018-11-19
4370820000,-0.01815124083246611,1,2018-11-20
3237400000,0.0030432907461763747,0,2018-11-21
1651680000,-0.006554842390161242,1,2018-11-23
3523520000,0.0155323683669224,1,2018-11-26
3494380000,0.003261692144003847,1,2018-11-27
3984540000,0.022973979644221654,0,2018-11-28
3599200000,-0.0021831080910337253,1,2018-11-29
4668310000,0.008170747552017188,1,2018-11-30
4221580000,0.010941426132194287,0,2018-12-03
4515710000,-0.03236490314939877,0,2018-12-04
5180430000,-0.0015222281477752508,0,2018-12-06
4242240000,-0.023320118765389863,1,2018-12-07
4162880000,0.0017621539947350051,0,2018-12-10
3963440000,-0.00035634616892232795,1,2018-12-11
4029300000,0.005419503676349802,0,2018-12-12
3978340000,-0.00019993032368359476,0,2018-12-13
4064370000,-0.019086709555430348,0,2018-12-14
4661420000,-0.020773480559224233,1,2018-12-17
4519190000,8.640058610476231e-05,0,2018-12-18
5152830000,-0.01539571453679811,0,2018-12-19
5619780000,-0.01577210632742365,0,2018-12-20
7657890000,-0.020588228309714296,0,2018-12-21
2613670000,-0.027112254452099527,1,2018-12-24
4249740000,0.04959374278953943,1,2018-12-26
4139010000,0.008562680784222065,0,2018-12-27
3728440000,-0.0012415825080966947,1,2018-12-28
3461920000,0.00849248413140935,1,2018-12-31
3733160000,0.0012684969251244294,0,2019-01-02
3858830000,-0.02475673039503723,1,2019-01-03
